"documents.cafename","documents.contents","documents.datetime","documents.thumbnail","documents.title","documents.url","meta.is_end","meta.pageable_count","meta.total_count"
"밀리토리네","그리고 이번 활동 유스케 비교하니 볼살있어서 더 귀여운 느낌ㅋㅋㅋ ㅊㅊㄷㅋ","2021-04-05T22:51:48.000+09:00","https://search2.kakaocdn.net/argon/130x130_85_c/EPtb55wUBZQ","<b>아이유</b>피셜 비수기라 살쪘었다는 작년 유스케 <b>아이유</b>특집","http://cafe.daum.net/baemilytory/91cd/296240","FALSE","693","225780"
"＊여성시대＊ 차분한 20대들의 알흠다운 공간","출처 : 여성시대 (아나바다와) https://theqoo.net/1918711306 지금의 <b>아이유</b>가 있기까지 멘탈 변화가 보이는 과정 (약스압) - 스퀘어 카테고리 * 데뷔초~지금까지...","2021-04-03T21:23:04.000+09:00","https://search2.kakaocdn.net/argon/130x130_85_c/I81FCVR5pV1","지금의 <b>아이유</b>가 있기까지 멘탈 변화가 보이는 과정 (약...","http://cafe.daum.net/subdued20club/ReHf/3206779","FALSE","693","225780"
"소울드레서 (SoulDresser)","좋아하는데 최애를 모른 척 하래...) ODG 필수 질문인 &#39;저 아세요?&#39;를 물어보는 <b>아이유</b> 연기 하라고 해서 하고는 있지만 벌써 마음 아픔 ㅠㅠ 근데 심지어 PD가 오늘 못...","2021-04-03T14:23:07.000+09:00","https://search4.kakaocdn.net/argon/130x130_85_c/5EPEQJVhv0w","아역배우 민서가 <b>아이유</b>를 보고 오열한 이유 | ODG...","http://cafe.daum.net/SoulDresser/FLTB/386201","FALSE","693","225780"
"도탁스 (DOTAX)","","2021-05-05T19:44:22.000+09:00","","비트코인 백만원어치 받기 vs 지금 당장 <b>아이유</b>랑 결혼하기","http://cafe.daum.net/dotax/Elgq/3644565","FALSE","693","225780"
"IU(아이유) 공식 팬카페","<b>아이유</b> 정규 5집 선공개 Concept Teaser 2021. 01. 27. 6PM Release","2021-01-22T00:06:13.000+09:00","https://search4.kakaocdn.net/argon/130x130_85_c/GCEBNLVWItG","<b>아이유</b> 정규 5집 선공개 ＜Celebrity＞ Concept Teaser","http://cafe.daum.net/IU/RDtR/144","FALSE","693","225780"
"쭉빵카페","오늘(25일) 저녁 6시 정규 5집 &#39;라일락&#39;을 발매하는 가수 <b>아이유</b>. 이담엔터테인먼트 제공 &#39;라일락&#39;은 2017년 발매한 정규 4집 &#39;팔레트&#39;(Palette) 이후 약 4년 만에...","2021-03-25T18:00:53.000+09:00","https://search2.kakaocdn.net/argon/130x130_85_c/5DFcJnmqf5y","<b>아이유</b>, 20대 마무리하는 정규 5집 &#39;라일락&#39; 발매...","http://cafe.daum.net/ok1221/9Zdf/2422885","FALSE","693","225780"
"밀리토리네","본문 추후 수정","2021-01-03T22:42:32.000+09:00","https://search1.kakaocdn.net/argon/130x130_85_c/1X3FXiZ2B8u","<U+0001F49C> <b>아이유</b> 달글 <U+0001F49C>","http://cafe.daum.net/baemilytory/9Nwb/754","FALSE","693","225780"
"방석 위로 모여라","내가 사랑하는 가수들 카세트테이프 만들기 ㅋㅋㅋㅋㅋ","2021-05-02T17:08:37.000+09:00","https://search2.kakaocdn.net/argon/130x130_85_c/7ilV4UYXuHQ","내 새 취미 자랑할래 ㅈㅇ 백현 <b>아이유</b>","http://cafe.daum.net/Duckgu/D2fy/28021","FALSE","693","225780"
"도탁스 (DOTAX)","전 지금은 고민안하고 블루밍.. 노래도 최애고 <b>아이유</b> 스타일도 최애였음.. 뮤비부터 <b>아이유</b> 헤어스타일까지 다 조아한..","2021-04-22T08:04:39.000+09:00","https://search4.kakaocdn.net/argon/130x130_85_c/9NPl1NilmfU","님들 <b>아이유</b> 최애곡이 머임","http://cafe.daum.net/dotax/D8UA/4730596","FALSE","693","225780"
"밀리토리네","둘 중에 뭐부터 뜯지...? 아무도 안계시면 혼자 뜯어볼게요....","2021-03-29T20:57:14.000+09:00","https://search2.kakaocdn.net/argon/130x130_85_c/AAI7QbpfBUo","딱지수집가 <b>아이유</b> 5집 하일락 바일락 뜯어볼게요...","http://cafe.daum.net/baemilytory/921d/102037","FALSE","693","225780"
